text,retweet_count,favorite_count,is_retweet,date,score
RT RepMarkMeadows Chairman Schiff interestingly reversed course on having the 'whistleblower' testify after it was revealed that his of,17762,0,0,2019-10-24,268.5144347276938
RT SenateGOP  SenatorWicker meets with USCG rescue swimmers at Air Station Kodiak On average the brave men and women of the Unit,3068,0,0,2019-08-31,264.91475583380566
Very productive talks yesterday with China on Trade Will continue today I will be leaving for Hanoi Vietnam early tomorrow for a Summit with Kim Jong Un of North Korea where we both expect a continuation of the progress made at first Summit in Singapore Denuclearization,18521,92640,0,2019-02-24,453.76786151166954
RT ChuckRossDC McCabe testified he couldn't think of a single damaging piece of info off the top of my head that the FBI had verified f,5692,0,0,2020-05-10,260.0973329166099
RT MattMackowiak That Comey interview on FoxNewsSunday should forever change his public reputation His lack of candor past and presen,5569,0,1,2019-12-19,294.5184222070735
Republicans must stick together ,16480,64141,0,2019-05-10,54.24147628145465
RT KimStrassel Impeachment insanity The Kavanaugh hit FBI/DOJ abuse of power The Mueller mess Leaks Media malpractice In just 10 da,6477,0,0,2019-10-08,302.57419955006395
RT GOPChairwoman Our economy263000 jobs in April beating expectations54M jobs created since realDonaldTrump took officeUn,12498,0,0,2019-05-05,238.61595894438233
RT iheartmindy So James Woods was kicked off Twitter for quoting Ralph Waldo Emersonbut TalbertSwan the racist fake man of God that,15623,0,0,2019-05-04,283.838577973875
RT GOPChairwoman The movement realDonaldTrump has built is unlike anything we have ever seen Tens of thousands came to Dallas to show,8556,0,0,2019-10-23,275.1932872829944
RT SecretarySonny Very encouraged by todays breakthrough on USMCA  the agreement is a big win for America especially for our farmers,5096,0,1,2019-12-11,280.1787572272825
RT GeraldoRivera Heres RussianBounty story in a nutshell1US raid randomly discovers wad of cash in Afghan hut How much In a safe,7418,0,0,2020-06-30,291.4788063150233
RT JohnKStahlUSA I like the way Kayleigh sets the agenda She doesnt take any crap off these pathetic worthless clueless DNC Shills I,11098,0,0,2020-05-23,263.01540397111376
RT seanhannity NEWSOM SUED Churches Accuse Governor of Double Standard by Restricting Services Allowing Protests ,11802,0,0,2020-07-17,164.10036797311818
RT realDonaldTrump A CNN Faker,30725,0,0,2020-05-18,101.70602081770433
RT TrumpWarRoom General Motors's first ventilators arrived Friday at hospitals just 1 month after conversations about the possibility of,7230,0,0,2020-04-21,221.41146499520855
RT realDonaldTrump ,31453,0,0,2020-01-30,70.83834231448806
RT JimJordan Aid was delayed by just 55 daysDuring that time we verified that President Zelensky was the real deal ,22295,0,0,2019-11-14,230.23971719651965
RT Lrihendry realDonaldTrump BEST President and First Lady Ever I am busting with pride,5128,0,0,2020-02-24,202.14359367796322
Whats with CNN POLLS increasing me by 10 points in a short period of time Maybe they want to take over from FoxNews,18084,92413,0,2020-08-18,267.22362855175913
RT PressSec Former Secretary Mattis article is little more than a selfpromotional stunt to appease the DC elitePresident realDona,15010,0,0,2020-06-04,287.6190291737997
Good teamwork between Republicans amp Democrats as the House passes the big CoronaVirus Relief Bill People really pulled together Nice to see,21946,146459,0,2020-03-14,233.60887471622434
RT wterrence TRUMP DERANGEMENT SYNDROME Corey Lewandowski to Sheila Jackson Lee Could you repeat the question I didn't hear it J,24907,0,0,2019-09-18,246.27250235910816
RT GreggJarrett Former CBS Reporter One Of The First To Identify Myself As A Target of Illegal Spying Under Obama Admin ,9653,0,0,2020-05-28,226.57779258702854
RT dcexaminer When Biden landed in Iowa this week a new poll from A Focus on Rural America showed his support among Democrats in the sta,4752,0,0,2019-07-05,279.26797140965857
Cryin Chuck told his favorite lie when he used his standard sound bite that I slammed the table amp walked out of the room He had a temper tantrum Because I knew he would say that and after Nancy said no to proper Border Security I politely said byebye and left no slamming,32935,155735,0,2019-01-10,513.4325770126683
There is no reason for the US Consumer to pay the Tariffs which take effect on China today This has been proven recently when only 4 points were paid by the US 21 points by China because China subsidizes product to such a large degree Also the Tariffs can be,18882,88617,0,2019-05-13,498.1456001299961
Ill never get the support of Dues Crazy union leadership those people who ripoff their membership with ridiculously high dues medical and other expenses while being paid a fortune But the members love Trump They look at our record economy tax amp reg cuts military etc WIN,24723,114625,0,2019-04-29,437.38094886396544
RT RepJimBanks I just left the White House where I was briefed by CoS MarkMeadows and top intelligence officials They discussed nytime,20436,0,0,2020-06-30,285.1925204003765
