text,retweet_count,favorite_count,is_retweet,date,score
RT DevinNunes Great to attend todays celebration at the White House with realDonaldTrump ,11311,0,0,2020-02-07,10.60748
RT ScottPresler Ladies amp gentlemen I present to you The democrat presidential candidate We have never never let our democracy sa,11244,0,0,2020-04-12,9.826431
They spied on my campaign ,29158,105301,0,2020-02-27,10.43421
and if Republicans win in court and take back the House of Represenatives your healthcare that I have now brought to the best place in many years will become the best ever by far I will always protect your PreExisting Conditions the Dems will not,13550,59279,0,2020-01-13,9.985386
RT dbongino Liberal groups rioting in liberal cities with liberal mayors and liberal city councils promoting radical liberal causes,30013,0,0,2020-08-30,10.911018
Congressman DaveBratVA7th is a fighter who is doing a great job for Virginia and for our Country Border Military Vets 2nd Amendment and all else We need Dave in DC He has my Strong Endorsement,12765,46669,0,2018-10-30,9.247884
RT RepDougCollins When you're trying to overturn 63 million votes and take down a sitting president you better come up with something mo,16165,0,1,2019-11-22,10.930462
RT jsolomonReports Declassifications to continue White House hints that under new intel chief more Michael Flynn documents could be rel,11521,0,0,2020-05-27,10.340578
RT CoreyStewartVA In the US Senate I'll be working WITH realDonaldTrump on his MAGA agenda  and that includes having the backs of A,8481,0,1,2018-09-03,10.389919
StarParker is indeed a Star Thank you Center for Urban Renewal amp Ed JesseBWatters LauraIngram,976,4855,0,2019-03-05,10.368031
Thank you so much JonVoight,23930,92480,0,2019-07-11,11.185139
RT mschlapp When Kamala Harris says she and Biden have a vision for the country just remember that vision is CA for All  sanctuary citie,10966,0,0,2020-08-14,11.190017
Heading to Toledo Ohio for first Rally of the year Tremendous crowd Here we go for a big 2020 Win,22201,168579,0,2020-01-10,11.089925
RT realDonaldTrump Success Since the National Guard moved into Kenosha Wisconsin two days ago there has been NO FURTHER VIOLENCE not,49990,0,0,2020-08-29,9.692051
RT GOPoversight Schiffs sham impeachment is collapsing ,8143,0,1,2019-11-20,10.802369
He is also my friend At the same time I am pleased to nominate Deputy Secretary Dan Brouillette to be the new Secretary of Energy Dans experience in the sector is unparalleled A total professional I have no doubt that Dan will do a great job,10702,51486,0,2019-10-19,10.205553
Radical Left Governor JayInslee and the Mayor of Seattle are being taunted and played at a level that our great Country has never seen before Take back your city NOW If you dont do it I will This is not a game These ugly Anarchists must be stooped IMMEDIATELY MOVE FAST,52024,188073,0,2020-06-11,10.194525
Just had a meeting with top representatives from Egypt Ethiopia and Sudan to help solve their long running dispute on the Grand Ethiopian Renaissance Dam one of the largest in the world currently being built The meeting went well and discussions will continue during the day ,12519,54129,0,2019-11-07,10.389356
RT CLewandowski New Hampshire Poll Corey Lewandowski Leads GOP Senate Field ,7226,0,0,2019-08-15,10.142175
Wow such enthusiasm and energy for Judge Brett Kavanaugh Look at the Energy look at the Polls Something very big is happening He is a fine man and great intellect The country is with him all the way,37889,157867,0,2018-10-04,10.276979
The Dems and their committees are going nuts The Republicans never did this to President Obama there would be no time left to run government I hear other committee heads will do the same thing Even stealing people who work at White House A continuation of Witch Hunt,26508,115740,0,2019-02-07,9.550064
RT EricTrump Amazing Quarter for the Markets The DOW has the best quarter in 33 years up 1777 Likewise the NASDAQ is up 3063 in,12369,0,0,2020-07-01,10.500838
Ken Starr Former Independent Counsel Does this reach the level of treason bribery or other high crimes and misdemeanors My assessment of the evidence so far NO WHERE CLOSE The evidence is conflicting amp ambiguous Ambassador Sondlands testimony stated that,17577,65010,0,2019-11-21,10.285601
Because it was OBAMAGATE and he and Sleepy Joe led the charge The most corrupt administration in US history ,45911,136608,0,2020-05-11,10.279595
The Radical Left Lamestream Media together with their partner the Do Nothing Democrats are trying to spread a new narrative that President Trump was slow in reacting to Covid 19 Wrong I was very fast even doing the Ban on China long before anybody thought necessary,29045,121073,0,2020-05-27,9.971527
RT MZHemingway Kevin Clinesmith reportedly pleading guilty today was the FBI Resistance figure who worried at the time of Trump's ele,9307,0,0,2020-08-15,10.265684
RT ScottAdamsSays Greg Gutfeld on Biden response to Tara Reade claims He 'was doing great in that interview until he confessed' ,6291,0,0,2020-05-02,10.977333
RT ByronYork So State Department inspector general asks for 'urgent' briefing on Capitol Hill Trump and Ukraine Then admits he's had 'u,7973,0,0,2019-10-03,10.592253
RT SecretarySonny Very encouraged by todays breakthrough on USMCA  the agreement is a big win for America especially for our farmers,5096,0,1,2019-12-11,10.26294
RT skbsara On the TrumpTrainPut our earlyvote in for Trump Florida4Trump GOP tcot  DanScavino ,8370,0,0,2020-08-19,9.827517
